time,speed,mode,collisionFlag,sessionId,front,frontLeft,left,frontRight,right,steer,throttle
1.7000,1.5196,Human,1,drive_session_010,1.0000,0.4426,0.3130,0.8910,0.6300,0.0000,1.0000
1.8200,2.5177,Human,1,drive_session_010,1.0000,0.4426,0.3130,0.8910,0.6300,0.0000,1.0000
1.9400,3.2990,Human,1,drive_session_010,1.0000,0.4426,0.3130,0.8910,0.6300,0.0000,1.0000
2.0600,3.8845,Human,1,drive_session_010,1.0000,0.5553,0.3430,0.7627,0.6075,1.0000,1.0000
2.1800,4.3182,Human,1,drive_session_010,1.0000,0.7273,0.3822,0.6654,0.5913,0.0000,1.0000
2.3000,4.7142,Human,1,drive_session_010,1.0000,0.7440,0.3910,0.6556,0.5826,0.0000,1.0000
2.4200,5.0201,Human,1,drive_session_010,1.0000,0.7654,0.4023,0.6429,0.5713,0.0000,1.0000
2.5400,5.2587,Human,1,drive_session_010,1.0000,0.7244,0.4034,0.6540,0.5607,-1.0000,1.0000
2.6600,5.4071,Human,1,drive_session_010,1.0000,0.5893,0.3817,0.7366,0.5646,0.0000,1.0000
2.7800,5.5642,Human,1,drive_session_010,1.0000,0.6070,0.3932,0.7217,0.5532,0.0000,1.0000
2.9000,5.6849,Human,1,drive_session_010,1.0000,0.6192,0.4011,0.7114,0.5453,0.0000,1.0000
3.0200,5.7785,Human,1,drive_session_010,1.0000,0.6320,0.4094,0.7005,0.5369,0.0000,1.0000
3.1400,5.8516,Human,1,drive_session_010,1.0000,0.6427,0.4163,0.6915,0.5300,0.0000,1.0000
3.2600,5.9087,Human,1,drive_session_010,1.0000,0.6535,0.4233,0.6824,0.5230,0.0000,1.0000
3.3800,5.9077,Human,1,drive_session_010,1.0000,0.5443,0.4010,0.8012,0.5428,0.0000,1.0000
3.5000,5.9579,Human,1,drive_session_010,1.0000,0.5497,0.4050,0.7954,0.5389,0.0000,1.0000
3.6200,5.9939,Human,1,drive_session_010,1.0000,0.5512,0.4061,0.7937,0.5377,0.0000,1.0000
3.7400,6.0208,Human,1,drive_session_010,1.0000,0.5507,0.4057,0.7943,0.5381,0.0000,1.0000
3.8600,6.0413,Human,1,drive_session_010,1.0000,0.5486,0.4042,0.7965,0.5396,0.0000,1.0000
3.9800,6.0572,Human,1,drive_session_010,1.0000,0.5461,0.4024,0.7993,0.5415,0.0000,1.0000
4.1000,6.0696,Human,1,drive_session_010,1.0000,0.5426,0.3998,0.8030,0.5440,0.0000,1.0000
4.2200,6.0793,Human,1,drive_session_010,1.0000,0.5390,0.3971,0.8070,0.5467,0.0000,1.0000
4.3400,6.0868,Human,1,drive_session_010,1.0000,0.5353,0.3944,0.8110,0.5494,0.0000,1.0000
4.4600,6.0927,Human,1,drive_session_010,1.0000,0.5313,0.3914,0.8154,0.5524,0.0000,1.0000
4.5800,6.0973,Human,1,drive_session_010,1.0000,0.5276,0.3887,0.8194,0.5552,0.0000,1.0000
4.7000,5.9938,Human,1,drive_session_010,1.0000,0.7441,0.4371,0.6281,0.5193,0.0000,1.0000
4.8200,6.0320,Human,1,drive_session_010,1.0000,0.7472,0.4390,0.6259,0.5174,0.0000,1.0000
4.9400,6.0545,Human,1,drive_session_010,1.0000,0.7568,0.4446,0.6190,0.5118,0.0000,1.0000
5.0600,6.0692,Human,1,drive_session_010,1.0000,0.7717,0.4534,0.6085,0.5030,0.0000,1.0000
