time,speed,mode,collisionFlag,sessionId,front,frontLeft,left,frontRight,right,steer,throttle
19.8600,1.5197,Human,1,drive_session_006,1.0000,0.5387,0.3969,0.8384,0.5679,0.0000,1.0000
19.9800,2.5177,Human,1,drive_session_006,1.0000,0.5373,0.3959,0.8399,0.5690,0.0000,1.0000
20.1000,3.2990,Human,1,drive_session_006,1.0000,0.5354,0.3945,0.8419,0.5704,0.0000,1.0000
20.2200,3.9105,Human,1,drive_session_006,1.0000,0.5327,0.3925,0.8448,0.5723,0.0000,1.0000
20.3400,4.3854,Human,1,drive_session_006,1.0000,0.5647,0.3993,0.7986,0.5647,1.0000,1.0000
20.4600,4.6663,Human,1,drive_session_006,1.0000,0.8146,0.4536,0.6204,0.5319,0.0000,1.0000
20.5800,4.9913,Human,1,drive_session_006,1.0000,0.8228,0.4582,0.6151,0.5273,0.0000,1.0000
20.7000,5.2386,Human,1,drive_session_006,1.0000,0.8392,0.4673,0.6045,0.5182,0.0000,1.0000
20.8200,5.4299,Human,1,drive_session_006,1.0000,0.8577,0.4776,0.5924,0.5079,0.0000,1.0000
20.9400,5.5789,Human,1,drive_session_006,1.0000,0.8805,0.4903,0.5776,0.4952,0.0000,1.0000
21.0600,5.6953,Human,1,drive_session_006,1.0000,0.9033,0.5030,0.5628,0.4825,0.0000,1.0000
21.1800,5.7863,Human,1,drive_session_006,1.0000,0.9302,0.5180,0.5453,0.4675,-1.0000,1.0000
21.3000,5.8279,Human,1,drive_session_006,1.0000,0.7629,0.4942,0.6174,0.4732,0.0000,1.0000
21.4200,5.8928,Human,1,drive_session_006,1.0000,0.7785,0.5043,0.6043,0.4631,0.0000,1.0000
21.5400,5.9419,Human,1,drive_session_006,1.0000,0.7924,0.5133,0.5925,0.4541,0.0000,1.0000
21.6600,5.9797,Human,1,drive_session_006,1.0000,0.8050,0.5214,0.5819,0.4460,0.0000,1.0000
21.7800,6.0090,Human,1,drive_session_006,1.0000,0.8164,0.5288,0.5722,0.4386,0.0000,1.0000
21.9000,6.0319,Human,1,drive_session_006,1.0000,0.8264,0.5353,0.5638,0.4321,0.0000,1.0000
22.0200,6.0497,Human,1,drive_session_006,1.0000,0.8370,0.5421,0.5548,0.4252,0.0000,1.0000
22.1400,6.0637,Human,1,drive_session_006,1.0000,0.8466,0.5484,0.5467,0.4190,0.0000,1.0000
22.2600,6.0747,Human,1,drive_session_006,1.0000,0.8566,0.5548,0.5382,0.4125,0.0000,1.0000
22.3800,6.0832,Human,1,drive_session_006,1.0000,0.8657,0.5607,0.5306,0.4067,0.0000,1.0000
22.5000,6.0899,Human,1,drive_session_006,1.0000,0.8751,0.5669,0.5226,0.4005,0.0000,1.0000
22.6200,6.0951,Human,1,drive_session_006,1.0000,0.8849,0.5732,0.5143,0.3942,0.0000,1.0000
22.7400,6.0992,Human,1,drive_session_006,1.0000,0.8942,0.5792,0.5065,0.3882,0.0000,1.0000
22.8600,6.1025,Human,1,drive_session_006,1.0000,0.9039,0.5855,0.4982,0.3819,0.0000,1.0000
22.9800,6.0847,Human,1,drive_session_006,1.0000,0.8079,0.5713,0.5554,0.3927,-1.0000,1.0000
23.1000,6.0764,Human,1,drive_session_006,1.0000,0.7697,0.5671,0.5871,0.3977,0.0000,1.0000
