time,speed,mode,collisionFlag,sessionId,front,frontLeft,left,frontRight,right,steer,throttle
3.0000,1.5197,Human,1,drive_session_013,1.0000,0.7255,0.5130,0.6081,0.4300,0.0000,1.0000
3.1200,2.5177,Human,1,drive_session_013,1.0000,0.7255,0.5130,0.6081,0.4300,0.0000,1.0000
3.2400,3.2990,Human,1,drive_session_013,1.0000,0.7255,0.5130,0.6081,0.4300,0.0000,1.0000
3.3600,3.9105,Human,1,drive_session_013,1.0000,0.7255,0.5130,0.6081,0.4300,0.0000,1.0000
3.4800,4.3892,Human,1,drive_session_013,1.0000,0.7255,0.5130,0.6081,0.4300,0.0000,1.0000
3.6000,4.7639,Human,1,drive_session_013,1.0000,0.7255,0.5130,0.6081,0.4300,0.0000,1.0000
3.7200,5.0572,Human,1,drive_session_013,1.0000,0.7255,0.5130,0.6081,0.4300,0.0000,1.0000
3.8400,5.2868,Human,1,drive_session_013,1.0000,0.7255,0.5130,0.6081,0.4300,0.0000,1.0000
3.9600,5.4665,Human,1,drive_session_013,1.0000,0.7255,0.5130,0.6081,0.4300,0.0000,1.0000
4.0800,5.6072,Human,1,drive_session_013,1.0000,0.7255,0.5130,0.6081,0.4300,0.0000,1.0000
4.2000,5.7173,Human,1,drive_session_013,1.0000,0.7255,0.5130,0.6081,0.4300,0.0000,1.0000
4.3200,5.8034,Human,1,drive_session_013,1.0000,0.7255,0.5130,0.6081,0.4300,0.0000,1.0000
4.4400,5.8709,Human,1,drive_session_013,1.0000,0.7255,0.5130,0.6081,0.4300,0.0000,1.0000
4.5600,5.9237,Human,1,drive_session_013,1.0000,0.7255,0.5130,0.6081,0.4300,0.0000,1.0000
4.6800,5.9651,Human,1,drive_session_013,1.0000,0.7254,0.5130,0.6082,0.4300,0.0000,1.0000
4.8000,5.9974,Human,1,drive_session_013,1.0000,0.7254,0.5130,0.6082,0.4300,0.0000,1.0000
4.9200,6.0227,Human,1,drive_session_013,1.0000,0.7254,0.5130,0.6082,0.4300,0.0000,1.0000
