time,speed,mode,collisionFlag,sessionId,front,frontLeft,left,frontRight,right,steer,throttle
18.3600,1.5196,Human,1,drive_session_005,1.0000,0.6950,0.4259,0.6954,0.5679,0.0000,1.0000
18.4800,2.5177,Human,1,drive_session_005,1.0000,0.7046,0.4118,0.6884,0.5695,0.0000,1.0000
18.6000,3.2990,Human,1,drive_session_005,1.0000,0.7339,0.4099,0.6796,0.5718,0.0000,1.0000
18.7200,3.9105,Human,1,drive_session_005,1.0000,0.7924,0.4091,0.6664,0.5715,0.0000,1.0000
18.8400,4.3892,Human,1,drive_session_005,1.0000,0.8581,0.4195,0.6507,0.5706,0.0000,1.0000
18.9600,4.7639,Human,1,drive_session_005,1.0000,0.9388,0.4327,0.6338,0.5555,0.0000,1.0000
19.0800,5.5267,Human,1,drive_session_005,1.0000,0.6169,0.3997,0.6747,0.5682,-1.0000,1.0000
19.2000,5.2803,Human,1,drive_session_005,1.0000,0.5028,0.3826,0.7501,0.5833,0.0000,1.0000
19.3200,5.4724,Human,1,drive_session_005,1.0000,0.5346,0.3863,0.7282,0.5786,0.0000,1.0000
19.4400,5.6157,Human,1,drive_session_005,1.0000,0.5613,0.3864,0.7199,0.5744,0.0000,1.0000
19.5600,5.7253,Human,1,drive_session_005,1.0000,0.5858,0.3832,0.7077,0.5738,0.0000,1.0000
19.6800,5.8103,Human,1,drive_session_005,1.0000,0.6114,0.3782,0.6975,0.5760,0.0000,1.0000
19.8000,5.7432,Human,1,drive_session_005,1.0000,0.6373,0.3727,0.6906,0.5253,0.0000,1.0000
19.9200,6.4951,Human,1,drive_session_005,1.0000,0.6582,0.3851,0.6846,0.5156,0.0000,1.0000
20.0400,6.3191,Human,1,drive_session_005,1.0000,0.6700,0.4002,0.6747,0.5073,0.0000,1.0000
20.1600,6.2674,Human,1,drive_session_005,1.0000,0.6352,0.4006,0.7053,0.5107,-1.0000,1.0000
20.2800,5.3990,Human,1,drive_session_005,1.0000,0.5038,0.3725,0.8674,0.5496,0.0000,1.0000
20.4000,6.8331,Human,1,drive_session_005,1.0000,0.5037,0.3776,0.8445,0.5514,0.0000,1.0000
20.5200,6.2047,Human,1,drive_session_005,1.0000,0.5210,0.3832,0.8268,0.5581,0.0000,1.0000
20.6400,6.1861,Human,1,drive_session_005,1.0000,0.5350,0.3848,0.8108,0.5636,0.0000,1.0000
20.7600,6.1710,Human,1,drive_session_005,1.0000,0.5357,0.3843,0.7967,0.5721,0.0000,1.0000
20.8800,6.1589,Human,1,drive_session_005,1.0000,0.5831,0.3768,0.7838,0.5782,0.0000,1.0000
21.0000,6.1492,Human,1,drive_session_005,1.0000,0.6017,0.3673,0.7713,0.5855,0.0000,1.0000
21.1200,6.1416,Human,1,drive_session_005,1.0000,0.6181,0.3776,0.7596,0.5874,0.0000,1.0000
21.2400,5.8418,Human,1,drive_session_005,1.0000,0.6363,0.3842,0.7491,0.5890,0.0000,1.0000
21.3600,7.0368,Human,1,drive_session_005,1.0000,0.6659,0.3826,0.7327,0.5811,0.0000,1.0000
21.4800,6.2778,Human,1,drive_session_005,1.0000,0.7463,0.4101,0.7209,0.5732,0.0000,1.0000
21.6000,6.2422,Human,1,drive_session_005,1.0000,0.7569,0.4200,0.7054,0.5642,0.0000,1.0000
21.7200,6.2143,Human,1,drive_session_005,1.0000,0.8573,0.4308,0.6761,0.5549,0.0000,1.0000
21.8400,6.1925,Human,1,drive_session_005,1.0000,1.0000,0.4401,0.6438,0.5461,0.0000,1.0000
21.9600,6.5816,Human,1,drive_session_005,1.0000,1.0000,0.4516,0.6130,0.5370,-1.0000,1.0000
22.0800,6.2600,Human,1,drive_session_005,1.0000,0.8530,0.4310,0.6448,0.5486,0.0000,1.0000
22.2000,6.2291,Human,1,drive_session_005,1.0000,0.9721,0.4440,0.6131,0.5432,0.0000,1.0000
22.3200,6.2056,Human,1,drive_session_005,1.0000,1.0000,0.4699,0.5843,0.5367,0.0000,1.0000
22.4400,6.4817,Human,1,drive_session_005,1.0000,1.0000,0.4927,0.5549,0.5095,0.0000,1.0000
22.5600,6.9305,Human,1,drive_session_005,1.0000,0.8175,0.4648,0.6313,0.5066,-1.0000,1.0000
22.6800,6.5051,Human,1,drive_session_005,1.0000,0.8044,0.4720,0.6226,0.4935,0.0000,1.0000
22.8000,6.4278,Human,1,drive_session_005,1.0000,0.8591,0.4498,0.5862,0.4777,0.0000,1.0000
22.9200,6.3627,Human,1,drive_session_005,1.0000,0.9437,0.4780,0.5643,0.4627,0.0000,1.0000
23.0400,6.3242,Human,1,drive_session_005,1.0000,0.8061,0.4797,0.5894,0.4688,-1.0000,1.0000
23.1600,6.3056,Human,1,drive_session_005,1.0000,0.6339,0.4561,0.6972,0.4938,0.0000,1.0000
23.2800,5.9286,Human,1,drive_session_005,1.0000,0.6537,0.4619,0.6710,0.4805,0.0000,1.0000
23.4000,7.2476,Human,1,drive_session_005,1.0000,0.6842,0.4700,0.6525,0.4779,0.0000,1.0000
23.5200,6.7101,Human,1,drive_session_005,1.0000,0.7363,0.4762,0.6360,0.4713,0.0000,1.0000
23.6400,6.4881,Human,1,drive_session_005,1.0000,0.7678,0.4815,0.6213,0.4677,0.0000,1.0000
23.7600,6.2264,Human,1,drive_session_005,1.0000,0.7797,0.4833,0.6113,0.4646,-1.0000,1.0000
23.8800,6.9972,Human,1,drive_session_005,1.0000,0.5896,0.4483,0.7827,0.5085,0.0000,1.0000
24.0000,6.5642,Human,1,drive_session_005,1.0000,0.5924,0.4419,0.7628,0.5056,0.0000,1.0000
24.1200,6.3829,Human,1,drive_session_005,1.0000,0.5888,0.4340,0.7466,0.5089,0.0000,1.0000
24.2400,6.3094,Human,1,drive_session_005,1.0000,0.6461,0.4280,0.7353,0.5134,0.0000,1.0000
24.3600,6.2680,Human,1,drive_session_005,1.0000,0.6574,0.4355,0.7272,0.5213,-1.0000,1.0000
24.4800,6.4232,Human,1,drive_session_005,1.0000,0.4271,0.3923,0.9623,0.6002,0.0000,1.0000
24.6000,6.3125,Human,1,drive_session_005,1.0000,0.4653,0.3916,0.9392,0.6025,0.0000,1.0000
24.7200,6.2701,Human,1,drive_session_005,1.0000,0.4583,0.3854,0.9196,0.6091,0.0000,1.0000
24.8400,6.4097,Human,1,drive_session_005,1.0000,0.4487,0.3598,0.9021,0.6197,0.0000,1.0000
24.9600,6.3311,Human,1,drive_session_005,1.0000,0.4404,0.3316,0.8891,0.6330,0.0000,1.0000
