time,speed,mode,collisionFlag,sessionId,front,frontLeft,left,frontRight,right,steer,throttle
8.1600,1.5196,Human,1,drive_session_011,1.0000,0.4426,0.3130,0.8910,0.6300,0.0000,1.0000
8.2800,2.5177,Human,1,drive_session_011,1.0000,0.4426,0.3130,0.8910,0.6300,0.0000,1.0000
8.4000,3.2990,Human,1,drive_session_011,1.0000,0.4426,0.3130,0.8910,0.6300,0.0000,1.0000
8.5200,3.9105,Human,1,drive_session_011,1.0000,0.4426,0.3130,0.8910,0.6300,0.0000,1.0000
8.6400,4.3892,Human,1,drive_session_011,1.0000,0.4426,0.3130,0.8910,0.6300,0.0000,1.0000
8.7600,4.7639,Human,1,drive_session_011,1.0000,0.4426,0.3130,0.8910,0.6300,0.0000,1.0000
8.8800,5.0407,Human,1,drive_session_011,1.0000,0.5131,0.3324,0.8010,0.6140,1.0000,1.0000
9.0000,5.2160,Human,1,drive_session_011,1.0000,0.6620,0.3686,0.6945,0.5955,0.0000,1.0000
9.1200,5.4172,Human,1,drive_session_011,1.0000,0.6752,0.3760,0.6859,0.5881,0.0000,1.0000
9.2400,5.5708,Human,1,drive_session_011,1.0000,0.6928,0.3858,0.6745,0.5783,0.0000,1.0000
9.3600,5.6895,Human,1,drive_session_011,1.0000,0.7140,0.3975,0.6608,0.5665,0.0000,1.0000
9.4800,5.7300,Human,1,drive_session_011,1.0000,0.5395,0.3655,0.7850,0.5783,-1.0000,1.0000
9.6000,5.7649,Human,1,drive_session_011,1.0000,0.4848,0.3572,0.8659,0.5866,0.0000,1.0000
9.7200,5.8477,Human,1,drive_session_011,1.0000,0.4907,0.3615,0.8595,0.5823,0.0000,1.0000
9.8400,5.9082,Human,1,drive_session_011,1.0000,0.4932,0.3633,0.8568,0.5805,0.0000,1.0000
9.9600,5.9539,Human,1,drive_session_011,1.0000,0.4931,0.3633,0.8569,0.5805,0.0000,1.0000
10.0800,5.9899,Human,1,drive_session_011,1.0000,0.5246,0.3710,0.8090,0.5720,0.0000,1.0000
10.2000,6.0169,Human,1,drive_session_011,1.0000,0.5236,0.3702,0.8100,0.5728,0.0000,1.0000
10.3200,6.0380,Human,1,drive_session_011,1.0000,0.5229,0.3697,0.8107,0.5733,0.0000,1.0000
10.4400,6.0545,Human,1,drive_session_011,1.0000,0.5225,0.3695,0.8111,0.5735,0.0000,1.0000
10.5600,6.0675,Human,1,drive_session_011,1.0000,0.5222,0.3693,0.8114,0.5737,0.0000,1.0000
10.6800,6.0776,Human,1,drive_session_011,1.0000,0.5221,0.3692,0.8115,0.5738,0.0000,1.0000
10.8000,6.0855,Human,1,drive_session_011,1.0000,0.5220,0.3691,0.8116,0.5739,0.0000,1.0000
10.9200,6.0917,Human,1,drive_session_011,1.0000,0.5219,0.3691,0.8117,0.5739,0.0000,1.0000
11.0400,6.0965,Human,1,drive_session_011,1.0000,0.5219,0.3690,0.8117,0.5740,0.0000,1.0000
11.1600,6.1003,Human,1,drive_session_011,1.0000,0.5219,0.3690,0.8117,0.5740,0.0000,1.0000
11.2800,6.1033,Human,1,drive_session_011,1.0000,0.5219,0.3690,0.8118,0.5740,0.0000,1.0000
11.4000,6.1056,Human,1,drive_session_011,1.0000,0.5218,0.3690,0.8118,0.5740,0.0000,1.0000
11.5200,6.1074,Human,1,drive_session_011,1.0000,0.5218,0.3690,0.8118,0.5740,0.0000,1.0000
11.6400,6.1089,Human,1,drive_session_011,1.0000,0.5218,0.3690,0.8118,0.5740,0.0000,1.0000
11.7600,6.1100,Human,1,drive_session_011,1.0000,0.5218,0.3690,0.8118,0.5740,0.0000,1.0000
11.8800,6.1066,Human,1,drive_session_011,1.0000,0.5589,0.3786,0.7672,0.5652,0.0000,1.0000
12.0000,6.1086,Human,1,drive_session_011,1.0000,0.5607,0.3798,0.7655,0.5640,0.0000,1.0000
12.1200,6.1099,Human,1,drive_session_011,1.0000,0.5635,0.3817,0.7629,0.5621,0.0000,1.0000
12.2400,6.1109,Human,1,drive_session_011,1.0000,0.5667,0.3840,0.7599,0.5599,0.0000,1.0000
12.3600,6.1116,Human,1,drive_session_011,1.0000,0.5697,0.3859,0.7573,0.5579,0.0000,1.0000
12.4800,6.1121,Human,1,drive_session_011,1.0000,0.5749,0.3895,0.7524,0.5544,0.0000,1.0000
12.6000,6.1125,Human,1,drive_session_011,1.0000,0.5788,0.3921,0.7489,0.5517,0.0000,1.0000
12.7200,6.1128,Human,1,drive_session_011,1.0000,0.5832,0.3951,0.7448,0.5487,0.0000,1.0000
12.8400,6.1131,Human,1,drive_session_011,1.0000,0.5878,0.3982,0.7406,0.5456,0.0000,1.0000
12.9600,6.1133,Human,1,drive_session_011,1.0000,0.5923,0.4012,0.7365,0.5426,0.0000,1.0000
13.0800,6.1134,Human,1,drive_session_011,1.0000,0.5968,0.4044,0.7323,0.5395,0.0000,1.0000
13.2000,6.1136,Human,1,drive_session_011,1.0000,0.6014,0.4075,0.7280,0.5364,0.0000,1.0000
13.3200,6.1137,Human,1,drive_session_011,1.0000,0.6060,0.4106,0.7238,0.5333,0.0000,1.0000
13.4400,6.1137,Human,1,drive_session_011,1.0000,0.6102,0.4134,0.7200,0.5304,0.0000,1.0000
13.5600,6.1138,Human,1,drive_session_011,1.0000,0.6148,0.4165,0.7157,0.5273,0.0000,1.0000
13.6800,6.1138,Human,1,drive_session_011,1.0000,1.0000,0.4197,0.7115,0.5242,0.0000,1.0000
13.8000,6.1139,Human,1,drive_session_011,1.0000,1.0000,0.4226,0.7075,0.5212,0.0000,1.0000
13.9200,6.1139,Human,1,drive_session_011,1.0000,1.0000,0.4257,0.7033,0.5181,0.0000,1.0000
14.0400,6.1139,Human,1,drive_session_011,1.0000,1.0000,0.4288,0.6991,0.5151,0.0000,1.0000
14.1600,6.1139,Human,1,drive_session_011,1.0000,1.0000,0.4318,0.6950,0.5120,0.0000,1.0000
14.2800,6.1140,Human,1,drive_session_011,0.9885,1.0000,0.4905,0.6908,0.5089,0.0000,1.0000
14.4000,5.7311,Human,1,drive_session_011,0.9151,1.0000,1.0000,0.6866,0.5058,0.0000,1.0000
14.5200,7.0080,Human,1,drive_session_011,0.8529,1.0000,1.0000,0.8793,0.5432,-1.0000,1.0000
14.6400,6.7368,Human,1,drive_session_011,0.8467,1.0000,0.5938,0.8256,0.6375,-1.0000,1.0000
14.7600,5.8914,Human,1,drive_session_011,0.8968,1.0000,0.4199,0.7345,0.8046,-1.0000,1.0000
14.8800,5.5424,Human,1,drive_session_011,0.9806,1.0000,0.3670,0.7023,0.8811,-1.0000,1.0000
15.0000,5.6667,Human,1,drive_session_011,1.0000,1.0000,0.3844,0.7294,0.7401,-1.0000,1.0000
15.1200,4.9969,Human,1,drive_session_011,1.0000,0.7045,0.4981,0.7737,0.6848,0.0000,1.0000
15.2400,5.3420,Human,1,drive_session_011,1.0000,0.9420,0.3512,0.7238,0.6486,0.0000,1.0000
15.3600,5.5478,Human,1,drive_session_011,1.0000,1.0000,0.3704,0.6809,0.6219,0.0000,1.0000
15.4800,5.5749,Human,1,drive_session_011,1.0000,1.0000,0.4148,0.6398,0.6005,0.0000,1.0000
15.6000,5.9598,Human,1,drive_session_011,1.0000,1.0000,0.4380,0.6208,0.5848,-1.0000,1.0000
15.7200,5.7225,Human,1,drive_session_011,1.0000,0.6306,0.3878,0.7498,0.5934,-1.0000,1.0000
15.8400,5.4367,Human,1,drive_session_011,1.0000,0.4479,0.3559,0.9239,0.6286,-1.0000,1.0000
15.9600,5.5665,Human,1,drive_session_011,1.0000,0.4383,0.3616,0.9239,0.6299,0.0000,1.0000
16.0800,5.7109,Human,1,drive_session_011,1.0000,0.4437,0.3640,0.8946,0.6278,0.0000,1.0000
16.2000,5.8079,Human,1,drive_session_011,1.0000,0.4521,0.3618,0.8727,0.6321,0.0000,1.0000
16.3200,5.4762,Human,1,drive_session_011,1.0000,0.4720,0.3559,0.8545,0.6358,0.0000,1.0000
16.4400,6.7079,Human,1,drive_session_011,1.0000,0.4911,0.3464,0.8337,0.6460,0.0000,1.0000
16.5600,6.1445,Human,1,drive_session_011,1.0000,0.5050,0.3379,0.8197,0.6536,0.0000,1.0000
16.6800,6.1381,Human,1,drive_session_011,1.0000,0.5171,0.3299,0.8046,0.6399,0.0000,1.0000
16.8000,5.4522,Human,1,drive_session_011,1.0000,0.5295,0.3383,0.7928,0.6306,0.0000,1.0000
16.9200,6.8746,Human,1,drive_session_011,1.0000,0.5880,0.3474,0.7817,0.6246,0.0000,1.0000
17.0400,6.2125,Human,1,drive_session_011,1.0000,0.6557,0.3566,0.7664,0.6136,0.0000,1.0000
17.1600,6.1909,Human,1,drive_session_011,1.0000,0.7155,0.3631,0.7397,0.6034,0.0000,1.0000
17.2800,6.0608,Human,1,drive_session_011,1.0000,0.4662,0.3249,0.8668,0.6356,0.0000,1.0000
17.4000,6.0850,Human,1,drive_session_011,1.0000,0.5017,0.3264,0.8363,0.6295,0.0000,1.0000
17.5200,6.0962,Human,1,drive_session_011,1.0000,0.5333,0.3237,0.8153,0.6295,0.0000,1.0000
17.6400,6.1786,Human,1,drive_session_011,1.0000,0.5629,0.3396,0.7936,0.6325,0.0000,1.0000
17.7600,6.2220,Human,1,drive_session_011,1.0000,0.5865,0.3524,0.7723,0.6290,0.0000,1.0000
17.8800,6.1766,Human,1,drive_session_011,1.0000,0.6077,0.3631,0.7571,0.6166,0.0000,1.0000
18.0000,6.1631,Human,1,drive_session_011,1.0000,0.6284,0.3741,0.7400,0.6066,0.0000,1.0000
18.1200,6.3508,Human,1,drive_session_011,1.0000,0.6511,0.3884,0.7247,0.5958,0.0000,1.0000
18.2400,6.3657,Human,1,drive_session_011,1.0000,0.6743,0.4005,0.7104,0.5856,0.0000,1.0000
18.3600,6.3078,Human,1,drive_session_011,1.0000,0.6989,0.4137,0.6942,0.5708,0.0000,1.0000
18.4800,6.2657,Human,1,drive_session_011,1.0000,0.7225,0.4264,0.6809,0.5567,0.0000,1.0000
18.6000,6.9301,Human,1,drive_session_011,1.0000,0.7383,0.4376,0.6649,0.5455,0.0000,1.0000
18.7200,6.3936,Human,1,drive_session_011,1.0000,0.7573,0.4502,0.6489,0.5306,0.0000,1.0000
18.8400,6.3323,Human,1,drive_session_011,1.0000,0.7726,0.4633,0.6320,0.5175,0.0000,1.0000
18.9600,5.5591,Human,1,drive_session_011,1.0000,0.7891,0.4768,0.6199,0.5063,0.0000,1.0000
19.0800,6.9584,Human,1,drive_session_011,1.0000,0.7833,0.4881,0.6061,0.4949,0.0000,1.0000
19.2000,6.3039,Human,1,drive_session_011,1.0000,0.7731,0.5026,0.5925,0.4819,0.0000,1.0000
19.3200,6.2621,Human,1,drive_session_011,1.0000,0.7641,0.5167,0.5809,0.4693,0.0000,1.0000
19.4400,6.2299,Human,1,drive_session_011,1.0000,0.7558,0.5262,0.5802,0.4580,0.0000,1.0000
19.5600,6.2047,Human,1,drive_session_011,1.0000,0.7490,0.5364,0.5955,0.4444,0.0000,1.0000
19.6800,6.1850,Human,1,drive_session_011,1.0000,0.7444,0.5451,0.6097,0.4346,0.0000,1.0000
19.8000,5.5533,Human,1,drive_session_011,1.0000,0.7359,0.5559,0.6216,0.4256,0.0000,1.0000
19.9200,6.9538,Human,1,drive_session_011,1.0000,0.7290,0.5561,0.6337,0.4143,0.0000,1.0000
20.0400,6.2843,Human,1,drive_session_011,1.0000,0.7198,0.5479,0.6475,0.4049,0.0000,1.0000
20.1600,6.2470,Human,1,drive_session_011,1.0000,0.7056,0.5410,0.7189,0.4152,0.0000,1.0000
20.2800,5.7243,Human,1,drive_session_011,1.0000,0.6961,0.5344,0.7880,0.4249,0.0000,1.0000
20.4000,7.0876,Human,1,drive_session_011,1.0000,0.6891,0.5291,0.8566,0.4341,0.0000,1.0000
20.5200,6.3524,Human,1,drive_session_011,1.0000,0.6607,0.5254,0.9228,0.4424,0.0000,1.0000
20.6400,6.3005,Human,1,drive_session_011,1.0000,0.6322,0.5183,0.9931,0.4503,0.0000,1.0000
20.7600,6.2600,Human,1,drive_session_011,1.0000,0.6034,0.5117,1.0000,0.4610,0.0000,1.0000
20.8800,6.2283,Human,1,drive_session_011,1.0000,0.5754,0.5016,1.0000,0.4879,0.0000,1.0000
21.0000,5.7177,Human,1,drive_session_011,1.0000,0.6636,0.5444,0.7478,0.4444,1.0000,1.0000
21.1200,6.4520,Human,1,drive_session_011,1.0000,0.8748,0.5783,0.5282,0.4073,1.0000,1.0000
21.2400,5.9041,Human,1,drive_session_011,1.0000,0.8711,0.5743,0.5168,0.4139,0.0000,1.0000
21.3600,5.9713,Human,1,drive_session_011,1.0000,0.8437,0.5693,0.5199,0.4166,0.0000,1.0000
21.4800,6.0106,Human,1,drive_session_011,1.0000,0.8235,0.5694,0.5182,0.4159,0.0000,1.0000
21.6000,6.4832,Human,1,drive_session_011,1.0000,0.8032,0.5727,0.5129,0.4112,0.0000,1.0000
21.7200,6.2406,Human,1,drive_session_011,1.0000,0.7862,0.5783,1.0000,0.4046,0.0000,1.0000
