time,speed,mode,collisionFlag,sessionId,front,frontLeft,left,frontRight,right,steer,throttle
5.0000,1.5196,Human,1,drive_session_006,1.0000,0.5799,0.4010,0.5671,0.4010,0.0000,1.0000
5.1200,2.5177,Human,1,drive_session_006,1.0000,0.5799,1.0000,0.5671,0.4010,0.0000,1.0000
5.2400,3.2990,Human,1,drive_session_006,1.0000,0.5799,0.4100,0.5671,0.4010,0.0000,1.0000
5.3600,3.9105,Human,1,drive_session_006,1.0000,0.5799,0.4100,0.5671,0.4010,0.0000,1.0000
5.4800,4.3892,Human,1,drive_session_006,1.0000,0.5799,0.4100,0.5671,0.4010,0.0000,1.0000
5.6000,4.7639,Human,1,drive_session_006,1.0000,0.5799,0.4100,0.5671,0.4010,0.0000,1.0000
5.7200,5.0572,Human,1,drive_session_006,1.0000,0.5799,0.4100,0.5671,0.4010,0.0000,1.0000
5.8400,5.2868,Human,1,drive_session_006,1.0000,0.5799,0.4100,0.5670,0.4010,0.0000,1.0000
5.9600,5.4665,Human,1,drive_session_006,1.0000,0.5799,0.4100,0.5670,0.4010,0.0000,1.0000
6.0800,5.6072,Human,1,drive_session_006,1.0000,0.5799,0.4100,0.5670,0.4010,0.0000,1.0000
6.2000,5.7173,Human,1,drive_session_006,1.0000,0.5799,0.4100,0.5670,0.4010,0.0000,1.0000
6.3200,5.8035,Human,1,drive_session_006,1.0000,0.5799,0.4100,0.5670,0.4010,0.0000,1.0000
6.4400,5.8709,Human,1,drive_session_006,1.0000,1.0000,0.4100,0.5670,0.4010,0.0000,1.0000
6.5600,5.9237,Human,1,drive_session_006,1.0000,1.0000,0.4100,0.5670,0.4010,0.0000,1.0000
6.6800,5.9453,Human,1,drive_session_006,1.0000,1.0000,0.3932,0.6493,0.4206,-1.0000,1.0000
6.8000,5.7648,Human,1,drive_session_006,1.0000,1.0000,0.3557,1.0000,0.5031,-1.0000,1.0000
6.9200,5.7692,Human,1,drive_session_006,1.0000,1.0000,0.3383,0.9965,0.5494,0.0000,1.0000
7.0400,6.0882,Human,1,drive_session_006,0.9415,1.0000,0.3183,0.9214,0.5694,0.0000,1.0000
7.1600,5.6634,Human,1,drive_session_006,0.8647,1.0000,0.2929,0.8462,0.5948,0.0000,1.0000
7.2800,7.0400,Human,1,drive_session_006,0.7887,1.0000,0.2863,0.7718,0.6236,0.0000,1.0000
7.4000,6.2801,Human,1,drive_session_006,0.7086,1.0000,0.4024,0.6934,0.6558,0.0000,1.0000
7.5200,6.6151,Human,1,drive_session_006,0.6316,1.0000,0.5753,0.6181,0.6889,0.0000,1.0000
7.6400,6.0525,Human,1,drive_session_006,0.5579,1.0000,0.7408,0.5460,0.7214,0.0000,1.0000
7.7600,6.9884,Human,1,drive_session_006,0.4727,1.0000,0.9322,0.4626,0.7601,0.0000,1.0000
7.8800,6.3137,Human,1,drive_session_006,0.4542,1.0000,0.7820,0.3859,0.6836,-1.0000,1.0000
8.0000,6.1132,Human,1,drive_session_006,0.4621,1.0000,0.6926,0.3371,0.4922,0.0000,1.0000
8.1200,6.1321,Human,1,drive_session_006,0.3728,1.0000,0.7877,0.2719,0.3970,0.0000,1.0000
8.2400,5.9715,Human,1,drive_session_006,0.3943,1.0000,0.7189,0.2406,0.2993,-1.0000,1.0000
8.3600,5.6504,Human,1,drive_session_006,0.6044,1.0000,0.6256,0.2530,0.2541,0.0000,1.0000
8.4800,5.7987,Human,1,drive_session_006,0.4849,1.0000,0.6759,0.2030,0.2039,0.0000,1.0000
8.6000,5.7979,Human,1,drive_session_006,0.5413,1.0000,0.6768,0.1878,0.1759,-1.0000,1.0000
8.7200,5.5420,Human,1,drive_session_006,1.0000,0.9381,0.6215,0.2542,0.1911,-1.0000,1.0000
8.8400,2.5632,Human,1,drive_session_006,1.0000,0.7650,0.5977,0.3441,0.2177,0.0000,1.0000
8.9600,3.3625,Human,1,drive_session_006,1.0000,0.7629,0.5962,0.3466,0.2193,0.0000,1.0000
9.0800,3.9607,Human,1,drive_session_006,1.0000,0.7583,0.5925,0.3523,0.2229,0.0000,1.0000
9.2000,4.4286,Human,1,drive_session_006,1.0000,0.7526,0.5880,0.3594,0.2274,0.0000,1.0000
9.3200,4.7947,Human,1,drive_session_006,1.0000,1.0000,0.5825,0.3682,0.2330,0.0000,1.0000
9.4400,5.0814,Human,1,drive_session_006,1.0000,1.0000,0.5764,0.3777,0.2390,0.0000,1.0000
9.5600,5.2890,Human,1,drive_session_006,1.0000,1.0000,0.5856,0.3259,0.2256,1.0000,1.0000
9.6800,5.4560,Human,1,drive_session_006,1.0000,1.0000,0.5898,0.3066,0.2214,0.0000,1.0000
9.8000,5.6009,Human,1,drive_session_006,1.0000,1.0000,0.5874,0.3100,0.2238,0.0000,1.0000
9.9200,5.7130,Human,1,drive_session_006,0.9488,1.0000,0.5865,0.3112,0.2247,0.0000,1.0000
10.0400,5.8004,Human,1,drive_session_006,0.8754,1.0000,0.5866,0.3111,0.2246,0.0000,1.0000
10.1600,5.9922,Human,1,drive_session_006,0.8120,1.0000,1.0000,0.3103,0.2240,0.0000,1.0000
10.2800,6.0520,Human,1,drive_session_006,0.7319,1.0000,1.0000,0.3088,0.2229,0.0000,1.0000
10.4000,6.0480,Human,1,drive_session_006,0.6639,0.9195,1.0000,0.3073,0.2218,0.0000,1.0000
10.5200,6.0434,Human,1,drive_session_006,0.5924,0.8940,1.0000,0.3608,0.2391,-1.0000,1.0000
10.6400,5.8397,Human,1,drive_session_006,0.5543,1.0000,0.9187,0.5916,0.3082,-1.0000,1.0000
10.7600,6.0684,Human,1,drive_session_006,0.5651,1.0000,0.6063,0.4890,0.4197,-1.0000,1.0000
10.8800,5.3251,Human,1,drive_session_006,0.6496,1.0000,0.5770,0.4449,0.6076,0.0000,1.0000
11.0000,5.5675,Human,1,drive_session_006,0.5520,1.0000,0.5818,0.3781,0.5184,0.0000,1.0000
11.1200,5.7134,Human,1,drive_session_006,0.4736,1.0000,0.6678,0.3244,0.4447,-1.0000,1.0000
11.2400,5.5219,Human,1,drive_session_006,0.6485,1.0000,0.5587,0.3254,0.3566,-1.0000,1.0000
11.3600,5.2762,Human,1,drive_session_006,1.0000,0.9652,0.7084,0.3714,0.3301,-1.0000,1.0000
11.4800,5.1403,Human,1,drive_session_006,1.0000,0.7155,1.0000,0.4439,0.3270,0.0000,1.0000
11.6000,5.4109,Human,1,drive_session_006,1.0000,0.7465,1.0000,0.4153,0.3060,0.0000,1.0000
11.7200,5.5850,Human,1,drive_session_006,1.0000,0.7709,0.5132,0.3929,0.2895,-1.0000,1.0000
11.8400,5.5081,Human,1,drive_session_006,1.0000,0.5955,0.4832,0.5620,0.3302,0.0000,1.0000
11.9600,5.6629,Human,1,drive_session_006,1.0000,0.5981,0.4853,0.5583,0.3281,0.0000,1.0000
12.0800,5.7694,Human,1,drive_session_006,1.0000,0.5941,0.4911,0.5641,0.3314,0.0000,1.0000
12.2000,5.8475,Human,1,drive_session_006,1.0000,0.5858,0.4843,0.5756,0.3382,0.0000,1.0000
12.3200,5.9065,Human,1,drive_session_006,1.0000,0.5747,0.4750,0.5914,0.3475,0.0000,1.0000
12.4400,5.9521,Human,1,drive_session_006,1.0000,0.5627,0.4652,0.6082,0.3573,0.0000,1.0000
12.5600,5.9874,Human,1,drive_session_006,1.0000,0.5507,0.4552,0.6251,0.3673,0.0000,1.0000
12.6800,6.0150,Human,1,drive_session_006,1.0000,0.5355,0.4427,0.6465,0.3798,0.0000,1.0000
12.8000,6.0365,Human,1,drive_session_006,1.0000,0.5225,0.4319,0.6648,0.3906,0.0000,1.0000
12.9200,6.0377,Human,1,drive_session_006,1.0000,0.5650,0.4330,0.5879,0.3808,0.0000,1.0000
13.0400,6.0559,Human,1,drive_session_006,1.0000,1.0000,0.4234,0.6028,0.3905,0.0000,1.0000
