time,speed,mode,collisionFlag,sessionId,front,frontLeft,left,frontRight,right,steer,throttle
3.1200,1.5197,Human,1,drive_session_001,1.0000,0.7976,0.5640,0.5657,0.4000,0.0000,1.0000
3.2400,2.5177,Human,1,drive_session_001,1.0000,0.7976,0.5640,0.5657,0.4000,0.0000,1.0000
3.3600,3.2990,Human,1,drive_session_001,1.0000,0.7976,0.5640,0.5657,0.4000,0.0000,1.0000
3.4800,3.9105,Human,1,drive_session_001,1.0000,0.7976,0.5640,0.5657,0.4000,0.0000,1.0000
3.6000,4.3892,Human,1,drive_session_001,1.0000,0.7976,0.5640,0.5657,0.4000,0.0000,1.0000
3.7200,4.7639,Human,1,drive_session_001,1.0000,0.7976,0.5640,0.5657,0.4000,0.0000,1.0000
3.8400,5.0572,Human,1,drive_session_001,1.0000,0.7976,0.5640,0.5657,0.4000,0.0000,1.0000
3.9600,5.2868,Human,1,drive_session_001,1.0000,0.7976,0.5640,0.5657,0.4000,0.0000,1.0000
4.0800,5.4665,Human,1,drive_session_001,1.0000,0.7976,0.5640,0.5657,0.4000,0.0000,1.0000
4.2000,5.6071,Human,1,drive_session_001,1.0000,0.7976,0.5640,0.5657,0.4000,0.0000,1.0000
4.3200,5.7172,Human,1,drive_session_001,1.0000,0.7976,0.5640,0.5657,0.4000,0.0000,1.0000
4.4400,5.8034,Human,1,drive_session_001,1.0000,0.7976,0.5640,0.5657,0.4000,0.0000,1.0000
4.5600,5.8709,Human,1,drive_session_001,1.0000,0.7976,0.5640,0.5657,0.4000,0.0000,1.0000
4.6800,5.9237,Human,1,drive_session_001,1.0000,0.7976,0.5640,0.5657,0.4000,0.0000,1.0000
4.8000,5.9650,Human,1,drive_session_001,1.0000,0.7976,0.5640,0.5657,0.4000,0.0000,1.0000
4.9200,5.9974,Human,1,drive_session_001,1.0000,0.7976,0.5640,0.5657,0.4000,0.0000,1.0000
5.0400,6.0227,Human,1,drive_session_001,1.0000,0.7976,0.5640,0.5657,0.4000,0.0000,1.0000
5.1600,6.0225,Human,1,drive_session_001,1.0000,0.7146,0.5477,0.6479,0.4197,-1.0000,1.0000
5.2800,6.0279,Human,1,drive_session_001,1.0000,0.6767,0.5390,0.7004,0.4327,0.0000,1.0000
5.4000,6.0489,Human,1,drive_session_001,1.0000,0.6710,0.5344,0.7078,0.4373,0.0000,1.0000
5.5200,6.0639,Human,1,drive_session_001,1.0000,0.6629,0.5280,0.7182,0.4437,0.0000,1.0000
5.6400,6.0751,Human,1,drive_session_001,1.0000,0.6538,0.5207,0.7300,0.4510,0.0000,1.0000
5.7600,6.0695,Human,1,drive_session_001,1.0000,0.7154,0.5270,0.6462,0.4378,1.0000,1.0000
5.8800,6.0432,Human,1,drive_session_001,1.0000,0.7951,0.5387,0.5785,0.4262,0.0000,1.0000
6.0000,6.0625,Human,1,drive_session_001,1.0000,0.7913,0.5361,0.5819,0.4287,0.0000,1.0000
6.1200,6.0752,Human,1,drive_session_001,1.0000,0.7905,0.5355,0.5827,0.4293,0.0000,1.0000
6.2400,6.0842,Human,1,drive_session_001,1.0000,0.7916,0.5363,0.5817,0.4286,0.0000,1.0000
6.3600,6.0909,Human,1,drive_session_001,1.0000,0.7942,0.5380,0.5794,0.4268,0.0000,1.0000
6.4800,6.0960,Human,1,drive_session_001,1.0000,0.7975,0.5403,0.5763,0.4246,0.0000,1.0000
6.6000,6.0999,Human,1,drive_session_001,1.0000,0.8010,0.5427,0.5730,0.4222,0.0000,1.0000
6.7200,6.1030,Human,1,drive_session_001,1.0000,0.8051,0.5454,0.5693,0.4194,0.0000,1.0000
6.8400,6.1054,Human,1,drive_session_001,1.0000,0.8095,0.5484,0.5652,0.4164,0.0000,1.0000
6.9600,6.1073,Human,1,drive_session_001,1.0000,0.8135,0.5511,0.5615,0.4137,0.0000,1.0000
