time,speed,mode,collisionFlag,sessionId,front,frontLeft,left,frontRight,right,steer,throttle
12.2800,1.5196,Human,1,drive_session_009,1.0000,0.7597,0.5372,0.5739,0.4058,0.0000,1.0000
12.4000,2.5177,Human,1,drive_session_009,1.0000,0.7597,0.5372,0.5739,0.4058,0.0000,1.0000
12.5200,3.2990,Human,1,drive_session_009,1.0000,0.7597,0.5372,0.5739,0.4058,0.0000,1.0000
12.6400,3.9105,Human,1,drive_session_009,1.0000,0.7597,0.5372,0.5739,0.4058,0.0000,1.0000
12.7600,4.3892,Human,1,drive_session_009,1.0000,0.7597,0.5372,0.5739,0.4058,0.0000,1.0000
12.8800,4.7639,Human,1,drive_session_009,1.0000,0.7597,0.5372,0.5739,0.4058,0.0000,1.0000
13.0000,5.0572,Human,1,drive_session_009,1.0000,0.7597,0.5372,0.5739,0.4058,0.0000,1.0000
13.1200,5.2868,Human,1,drive_session_009,1.0000,0.7597,0.5372,0.5739,0.4058,0.0000,1.0000
13.2400,5.4665,Human,1,drive_session_009,1.0000,0.7597,0.5372,0.5739,0.4058,0.0000,1.0000
13.3600,5.6071,Human,1,drive_session_009,1.0000,0.7597,0.5372,0.5739,0.4058,0.0000,1.0000
13.4800,5.7173,Human,1,drive_session_009,1.0000,0.7597,0.5372,0.5739,0.4058,0.0000,1.0000
13.6000,5.8034,Human,1,drive_session_009,1.0000,0.7597,0.5372,0.5739,0.4058,0.0000,1.0000
13.7200,5.8709,Human,1,drive_session_009,1.0000,0.7597,0.5372,0.5739,0.4058,0.0000,1.0000
13.8400,5.9237,Human,1,drive_session_009,1.0000,0.7597,0.5372,0.5739,0.4058,0.0000,1.0000
13.9600,5.9650,Human,1,drive_session_009,1.0000,0.7597,0.5372,0.5739,0.4058,0.0000,1.0000
14.0800,5.9974,Human,1,drive_session_009,1.0000,0.7597,0.5372,0.5739,0.4058,0.0000,1.0000
14.2000,6.0227,Human,1,drive_session_009,1.0000,0.7597,0.5372,0.5739,0.4058,0.0000,1.0000
14.3200,6.0426,Human,1,drive_session_009,1.0000,0.7597,0.5372,0.5739,0.4058,0.0000,1.0000
14.4400,6.0581,Human,1,drive_session_009,1.0000,0.7597,0.5372,0.5739,0.4058,0.0000,1.0000
14.5600,6.0702,Human,1,drive_session_009,1.0000,0.7597,0.5372,0.5739,0.4058,0.0000,1.0000
14.6800,6.0797,Human,1,drive_session_009,1.0000,0.7597,0.5372,0.5739,0.4058,0.0000,1.0000
